EMSRoomID,EMSRoomCode,rooID,rooRoom,facID,facName,buiID,buiName,Location
,SC335,1,335,27,LSU Shreveport,9,Science Building,"LSU Shreveport, Science Building, 335"
,SC228,2,228,27,LSU Shreveport,9,Science Building,"LSU Shreveport, Science Building, 228"
